source,lang-source,author,license,sme-reviewed,premium,lang-source-dict,id
Administration légale sous contrôle judiciaire (ALCJ),fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Sous ce régime, un seul des deux parents exerce l'autorité parentale et gère les biens du mineur sous le contrôle du juge des tutelles.",265bb84d-262d-4243-a6a1-93082affe30f
Admonestation,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Réprimande solennelle du juge des enfants adressée à un mineur délinquant.,fca4ad75-0c93-4725-b146-b333521064ba
Adoption plénière,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"En cas d'adoption plénière, le lien avec la famille biologique est rompu.",ce0bc839-294c-48bb-a9f8-92a49de4d5fa
Adoption simple,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"En cas d'adoption simple, le lien avec la famille biologique n'est pas rompu.",db9a1ef0-8d47-49a5-9ec5-07af6fe27092
Affectation d'un élève,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Décision du directeur académique des services de l'éducation nationale (Dasen) qui permet à la famille d'inscrire son enfant dans un collège ou un lycée public.,53c54142-2704-4e28-9eb0-fefca8e50a67
Affection de longue durée (ALD),fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Maladie grave et/ou chronique ouvrant droit à une prise en charge à 100 % par l'assurance maladie. Par exemple, diabète, cancer, mucoviscidose, infection par le virus de l'immunodéficience humaine (VIH).",854381c9-6139-42c3-a5d8-cdf086cb2b59
Affection iatrogène,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Affection due à un médicament ou un traitement prescrit.,77722254-98e5-4bbf-b7c9-d03aafaef0f1
Aliénation,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Désigne le transfert de propriété d'un bien (ou d'un droit) à titre gracieux ou onéreux. Exemples : une donation, une vente.",8eb59dce-1772-4926-993c-ba1f77825f29
Aliments,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Prestation, en nature ou en argent, que doit verser une personne, si elle en a la possibilité, à un proche parent qui se trouve dans le besoin.",e043c1a3-cf1d-474e-9a73-312f0eade901
Alliés,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Personnes liées par des liens résultant du mariage et non du sang (par exemple, beau-frère, belle-mère).",cb9e5d39-23a8-4adc-9f67-756404bf37c4
Allophone,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Personne qui parle une autre langue que le français.,a69cd21c-45be-4c82-8212-ea3f5f19d317
Altération définitive du lien conjugal,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Chacun des époux peut demander le divorce lorsqu'ils ne vivent plus ensemble depuis au moins 1 an.,7866a543-d93f-48e3-abbe-a1acf1072183
Amende forfaitaire,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Somme forfaitaire à régler dans un délai précis à la suite d'une infraction relative notamment à la circulation routière. Son montant peut être minoré ou majoré en fonction de la date de paiement.,ec00fd2c-b896-4592-9546-bc98bd9823bf
Ampliation,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Double authentique d'un acte officiel qui constitue un second original.,e9338abf-0516-47ba-92e0-d2a90e68b572
Animal de compagnie,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Tout animal détenu par l'homme (ou destiné à l'être) pour son agrément (par exemple, un chien, un chat, etc.).",3e1d43fc-1da3-4114-80be-2ffda3a861fb
Apatride,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Étranger sans nationalité.,d01e15a3-9db4-4559-8b56-f6b739de1574
Apostille,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Formalité permettant de faire authentifier des actes établis conformément au droit français, afin d'en permettre la production auprès des autorités étrangères qui demandent cette formalité.",fa4a64c2-6a72-4deb-a3da-bde3af0776f4
Appel,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Demande de nouvel examen du dossier formé par une partie devant la cour d'appel, contre la décision rendue par le tribunal.",48f8a10f-d247-4f35-ab71-c69da993842a
Appelant,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Personne qui fait appel contre la décision rendue.,1c4782e2-19e3-4484-b497-1cd6885b3c56
Apposition des scellés,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,L'apposition des scellés faite par un huissier permet de protéger les biens du défunt durant le règlement de la succession.,ef63293e-1163-4433-92fd-fd543ab9b8e9
Ascendant,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Parents, grands-parents et arrière-grands-parents d'une personne.",c72e4a4f-7ad8-44c9-9609-bdc7e4c5f9c6
Assiette,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Base de calcul.,0b1f76d1-460b-479f-b6ac-84d5a1b3007b
Assignation,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Acte de procédure payant et rédigé par un commissaire de justice, l'assignation est remise à l'adversaire par le commissaire de justice et vaut convocation en justice.",f5340cba-6f56-4ddc-88e6-3569adf5b862
