id,source,lang-source,target,lang-target,author,license,sme-reviewed,premium,lang-target-dict
a5e18a83-7d2f-4f34-99ff-3108563fbe6e,Certificate of conduct,nl-nl,Verklaring omtrent het gedrag (VOG),en-gb,business.gov.nl,CC0,True,False,A document that proves that a person has not committed any crimes.
e8713e63-fb87-42c2-bad7-e890eee1e64d,Certificate of origin,nl-nl,Certificaat van oorsprong,en-gb,business.gov.nl,CC0,True,False,"A document stating the country where a product, or its parts, is originally from."
37b916d4-7b7d-4ad0-bcf6-14610528b05e,Chairman of the board,nl-nl,Voorzitter,en-gb,business.gov.nl,CC0,True,False,The leader of the board. Manages meetings and determines the agenda.
830d156b-1564-4fef-a33f-24a92affcc34,Citizen Service Number (BSN),nl-nl,Burgerservicenummer (BSN),en-gb,business.gov.nl,CC0,True,False,"A unique personal number assigned to every Dutch citizen, used for identification to government agencies."
13898b33-14f8-4703-a2e7-072fb8515ba5,Civil-law notary,nl-nl,Notaris,en-gb,business.gov.nl,CC0,True,False,A person who makes agreements and declarations legally valid by recording them in a notarial act.
e03575ec-154a-43a0-a95c-55ec75b66a95,Claim,nl-nl,Vordering,en-gb,business.gov.nl,CC0,True,False,A demand or request for something someone considers they are entitled to.
9d9ca753-6502-42a1-9805-7d07c8d52ef0,Co-working partner relief,nl-nl,Meewerkaftrek,en-gb,business.gov.nl,CC0,True,False,A tax scheme allowing entrepreneurs to pay less tax when their fiscal partner works for the business.
cd14ea8a-c46c-4c62-af6e-7ff3b7d4adf9,Collective labour agreement (CAO),nl-nl,Collectieve Arbeidsovereenkomst,en-gb,business.gov.nl,CC0,True,False,"Agreements between employers and employees about wages, working hours, and conditions."
421e28d5-7004-485a-a867-1c183674be06,Combined residence and work permit (GVVA),nl-nl,Gecombineerde vergunning voor verblijf en arbeid (GVVA),en-gb,business.gov.nl,CC0,True,False,This combined permit allows a person to live and work in the Netherlands.
c55a5a84-39be-4c8a-a57a-c9cbadf1f8bf,Commodities,nl-nl,Goederen,en-gb,business.gov.nl,CC0,True,False,"Goods, products."
e906a363-90b6-4621-8b6a-cfbb3db509fc,Commodities Act,nl-nl,Warenwet,en-gb,business.gov.nl,CC0,True,False,"Law that applies to the production, preparation and trade in food or other consumer products in the Netherlands."
ec2ea6b7-8023-418e-93c2-7b1ce89861f8,Commodity code,nl-nl,Goederencode,en-gb,business.gov.nl,CC0,True,False,Codes used by customs worldwide to classify products (HS = Harmonised System).
9a01652b-3d2a-45a0-a567-30b7b99614a5,Company address,nl-nl,Adres rechtspersoon,en-gb,business.gov.nl,CC0,True,False,The address where the business of a legal entity is formally located.
7bca0aa7-4ef2-49c0-aee1-bc9ef2885255,Company car,nl-nl,Bedrijfsauto,en-gb,business.gov.nl,CC0,True,False,"A car owned by a company, used for work."
7caeb465-bae2-45e0-8b2c-82ae38c9ef2e,Competition,nl-nl,Concurrenten,en-gb,business.gov.nl,CC0,True,False,Companies that make money by selling similar products or services.
2934ce43-2f3f-4350-ac6e-adc1c9aaaffb,Competitors,nl-nl,Concurrenten,en-gb,business.gov.nl,CC0,True,False,Companies that make money by selling similar products or services.
3fb54700-6011-4810-b03b-5246edb4c7d5,"Complete in duplicate, in triplicate",nl-nl,"Invullen in tweevoud, drievoud",en-gb,business.gov.nl,CC0,True,False,Completing a form or document in 2 or 3 identical copies.
1b22f820-5fe1-4e9b-ac73-6f3694d3265f,Confidentiality agreement,nl-nl,"Geheimhoudingsovereenkomst (NDA), Vertrouwelijkheidsovereenkomst",en-gb,business.gov.nl,CC0,True,False,A contract in which parties agree to keep shared information secret.
3f2fa728-fc26-44c0-9cd3-f941e34b0599,Consignment note,nl-nl,Vrachtbrief,en-gb,business.gov.nl,CC0,True,False,Document accompanying goods during transport that serves as proof of carriage.
1993a101-f156-46d1-bc1a-fb1366996f9f,contract,nl-nl,"Overeenkomst, Contract",en-gb,business.gov.nl,CC0,True,False,A document in which 2 or more parties promise to work together in a certain way.
b6ba1588-0877-4f71-99ef-e26f69382bec,Cooperative,nl-nl,Cooperatie,en-gb,business.gov.nl,CC0,True,False,A collective of members sharing profit and control proportionally to their work.
e63a6a0c-7830-48cb-aca4-5cf28916a0fa,Corporate income tax,nl-nl,Vennootschapsbelasting,en-gb,business.gov.nl,CC0,True,False,Tax that private and public limited companies pay on annual profits.
4a8d7e1f-7edd-4538-ab44-8dad2e9a7f18,Corporate social responsibility (CSR),nl-nl,Maatschappelijk verantwoord ondernemen (MVO),en-gb,business.gov.nl,CC0,True,False,Doing business in a way that is fair for people and does not harm the planet.
7d2a4b91-1d4a-41e5-b320-254ab5411442,Corporate sustainability,nl-nl,Duurzaam ondernemen,en-gb,business.gov.nl,CC0,True,False,Doing business in a way that does not harm the environment or improves it.
b6dafcbe-b6b6-4fb5-9d8d-badc789e6d0a,Cost price,nl-nl,Kostprijs,en-gb,business.gov.nl,CC0,True,False,All costs paid before selling a product or service (excluding VAT).
ed8cd6fd-bfc3-4bc7-8544-bab000e672d4,Country of origin,nl-nl,Land van oorsprong,en-gb,business.gov.nl,CC0,True,False,"The country where a product, or its parts, is originally from."
e32c0fc5-d1c6-40b9-8e53-3faffeee53f1,Court,nl-nl,Rechtbank,en-gb,business.gov.nl,CC0,True,False,An official body that decides legal disputes by applying the law.
9292e4ca-1c36-4847-ac46-4ba7aa977622,Court Approval of a Private Composition (Prevention of Insolvency) Act (WHOA),nl-nl,Wet Homologatie Onderhands Akkoord (WHOA),en-gb,business.gov.nl,CC0,True,False,A legal process allowing a business at risk of bankruptcy to make binding agreements with creditors.
ef5e243a-291b-49c6-bb20-0e93338ccfc3,Credit union,nl-nl,Kredietunie,en-gb,business.gov.nl,CC0,True,False,A non-profit cooperative of entrepreneurs providing credit to each other.
773eaddf-9890-4b4e-a325-c817b37ddde5,Creditor,nl-nl,Crediteur,en-gb,business.gov.nl,CC0,True,False,A person or company who provides money (credit) to another.
6c6ef94f-982c-49f3-921d-0e26a820da16,Creditworthiness,nl-nl,Kredietwaardigheid,en-gb,business.gov.nl,CC0,True,False,How likely it is that someone can pay back a loan.
893badef-8e63-4003-a88f-7317c7ac7c04,Crowdfunding,nl-nl,Crowdfunding,en-gb,business.gov.nl,CC0,True,False,A group of people give or lend money to fund a business or project.
3e6be420-09ab-4aaf-ac0b-43c977a87038,Custody,nl-nl,Voogdij,en-gb,business.gov.nl,CC0,True,False,Authority over a minor exercised by someone other than the parents.
28a62bd6-d37f-4a26-8b61-ec76d6e19059,Custom-made,nl-nl,Maatwerk,en-gb,business.gov.nl,CC0,True,False,Made especially for someone; made to fit.
40d3bfb7-85ef-4c6e-86a5-c7374eee29d8,Customs agent,nl-nl,Expediteur,en-gb,business.gov.nl,CC0,True,False,A professional who handles customs formalities on behalf of clients.
cf73f873-c607-42d6-ae0f-436729f30ff2,Customs regulations,nl-nl,Douaneregelingen,en-gb,business.gov.nl,CC0,True,False,Rules applying when goods enter or leave a country.
228c9762-3064-493f-b622-07503e01b619,Daughter company,nl-nl,Dochtermaatschappij,en-gb,business.gov.nl,CC0,True,False,A company owned or controlled by another company.
42ededd4-0580-41f6-b24b-beeb74893dad,Debt,nl-nl,Schuld,en-gb,business.gov.nl,CC0,True,False,Money owed that still needs to be paid.
3fe93355-6d88-42d0-91d4-98559c9f3d2f,Debt collection agency,nl-nl,Incasso bureau,en-gb,business.gov.nl,CC0,True,False,A company hired to collect unpaid money from clients.
62c2a090-cfe8-44ba-9d9c-e1d6e812085a,Debtor,nl-nl,"Debiteur, Schuldenaar",en-gb,business.gov.nl,CC0,True,False,A person or company who owes money.
dd81ecbb-7c4b-4e06-b9cf-ab353029aa16,Declaration of intent,nl-nl,Intentieverklaring,en-gb,business.gov.nl,CC0,True,False,A document stating intentions without legal obligation.
79580e20-49ab-4472-81fe-fa5337cb0abc,Decree on construction works in the living environment,nl-nl,Besluit bouwwerken leefomgeving (Bbl),en-gb,business.gov.nl,CC0,True,False,"Outlines rules on safety, health, sustainability, and usability of structures."
