id,source,lang-source,target,lang-target,author,license,sme-reviewed,premium,lang-target-dict
cff4c240-dba3-47db-bb1c-730233a9a28d,Verdrag,nl-nl,Abkommen,de-de,van Gassen,All rights reserved,True,False,
2496dbf0-a380-4fe1-948e-f3a6e0f307d8,Koninkrijk der Nederlanden,nl-nl,Königreich der Niederlande,de-de,van Gassen,All rights reserved,True,False,
4d85ddfb-7585-4b3c-92fa-1657a2fd3cbb,Bondsrepubliek Duitsland,nl-nl,Bundesrepublik Deutschland,de-de,van Gassen,All rights reserved,True,False,
147d029a-de96-4033-b5c2-090f72a5b130,dubbele belasting,nl-nl,Doppelbesteuerung,de-de,van Gassen,All rights reserved,True,False,
de711977-95a8-43d5-a256-42f2679626cf,ontgaan van belasting,nl-nl,Steuerverkürzung,de-de,van Gassen,All rights reserved,True,False,
3bb1eb93-b13e-4a9a-8784-e36e4719e078,belastingen naar het inkomen,nl-nl,Steuern vom Einkommen,de-de,van Gassen,All rights reserved,True,False,
e59b95e4-2463-448c-a45f-453b769c8aec,rechtspersoon,nl-nl,juristische Person,de-de,van Gassen,All rights reserved,True,False,
f96abc9d-73a8-480b-9876-f0db7c22c76f,plaats van de werkelijke leiding,nl-nl,Ort der tatsächlichen Geschäftsleitung,de-de,van Gassen,All rights reserved,True,False,
bce15747-0377-4aa5-b87c-420693aec26f,grensoverschrijdend bedrijventerrein,nl-nl,grenzüberschreitendes Gewerbegebiet,de-de,van Gassen,All rights reserved,True,False,
bacd4c47-a29a-406c-9e26-6d252d5d7dbb,gemeenschappelijke grens,nl-nl,gemeinsame Grenze,de-de,van Gassen,All rights reserved,True,False,
23edb46c-3f07-4f37-9be4-6f4ebeb0d790,vaste bedrijfsinrichting,nl-nl,feste Geschäftseinrichtung,de-de,van Gassen,All rights reserved,True,False,
ab5d14e3-aa2e-499a-9ebf-9bccf7291619,verdragsluitende staten,nl-nl,Vertragsstaaten,de-de,van Gassen,All rights reserved,True,False,
1c07cf76-4263-4de5-8cb7-ee2828998611,inwoner,nl-nl,ansässig,de-de,van Gassen,All rights reserved,True,False,
2f94f253-f577-484c-b021-7635cbafe48b,eenduidig vastgesteld,nl-nl,eindeutig bestimmt,de-de,van Gassen,All rights reserved,True,False,
98ad3351-2b70-44f5-8b9f-a8bdcd48cc1d,het grootste deel van de gebruikte oppervlakte,nl-nl,größerer Teil der genutzten Fläche,de-de,van Gassen,All rights reserved,True,False,
47e81d8d-c791-4d8c-b17f-37f08b775e8b,gebouw,nl-nl,Gebäude,de-de,van Gassen,All rights reserved,True,False,
c9d3920c-ecb0-44c9-aab2-aa25596f9627,werkelijke leiding van de onderneming,nl-nl,tatsächliche Geschäftsleitung des Unternehmens,de-de,van Gassen,All rights reserved,True,False,
004e6097-da92-416d-89d2-bada553b5d5d,vloeroppervlak gebruikt door de onderneming,nl-nl,vom Unternehmen genutzte Fläche,de-de,van Gassen,All rights reserved,True,False,
28d103e7-d570-4328-b367-cf62b602bea2,recht tot belastingheffing,nl-nl,Besteuerungsrecht,de-de,van Gassen,All rights reserved,True,False,
8b4d9886-a883-4111-86bf-4323fe027d05,voorbeelden,nl-nl,Beispielsfälle,de-de,van Gassen,All rights reserved,True,False,
253626dc-a57f-404b-8990-a58e62dbf5d9,voorbeeld,nl-nl,Beispielsfall,de-de,van Gassen,All rights reserved,True,False,
4e15e9cd-2767-4fc3-9d56-735ba8e27fe5,onderneming,nl-nl,Unternehmen,de-de,van Gassen,All rights reserved,True,False,
47636a64-f2ed-4a4d-be1d-1ebb5aea6b51,inkomsten van de onderneming,nl-nl,Gewinne des Unternehmens,de-de,van Gassen,All rights reserved,True,False,
df9805e1-1097-4b3b-a99f-7429cf638c7e,economische betrekkingen,nl-nl,wirtschaftlichen Beziehungen,de-de,van Gassen,All rights reserved,True,False,
7834aee2-5f61-4ce2-bbd7-f22caeebcb96,samenwerking op het gebied van belastingzaken,nl-nl,Zusammenarbeit in Steuersachen,de-de,van Gassen,All rights reserved,True,False,
c8d37a72-6fed-48bd-b236-bd467f052edb,doeltreffende en juiste belastingheffing,nl-nl,wirksame und zutreffende Steuererhebung,de-de,van Gassen,All rights reserved,True,False,
7eb4fcc2-a95b-4b47-808a-0f26e367bb6e,heffingsbevoegdheden,nl-nl,Besteuerungsrechte,de-de,van Gassen,All rights reserved,True,False,
fb5e97bb-1463-487c-a049-1b11bdac1ae7,vermijden van dubbele heffing,nl-nl,Vermeidung der Doppelbesteuerung,de-de,van Gassen,All rights reserved,True,False,
d6b40b59-9a4a-4c5c-8c86-eb75a366d0df,personen die inwoner zijn van een verdragsluitende staat,nl-nl,"Personen, die in einem Vertragsstaat ansässig sind",de-de,van Gassen,All rights reserved,True,False,
25c005a2-8941-4125-a687-7e50e9bca27c,belastingen naar het gehele inkomen,nl-nl,"Steuern, die vom Gesamteinkommen erhoben werden",de-de,van Gassen,All rights reserved,True,False,
27a74cdd-86b6-4104-9471-328d8ad381c7,roerende of onroerende zaken,nl-nl,beweglichen oder unbeweglichen Vermögens,de-de,van Gassen,All rights reserved,True,False,
46247eea-ab8a-42b8-b4f6-0311d6041d01,loonbelasting,nl-nl,Lohnsummensteuern,de-de,van Gassen,All rights reserved,True,False,
2732c374-792d-4fc8-a7f1-017c4285343c,ondernemingsbelasting,nl-nl,Gewerbesteuer,de-de,van Gassen,All rights reserved,True,False,
ce3bc066-bafe-4e6f-a715-2b15a5d1a696,mijnbouwwet,nl-nl,Bergbaugesetz,de-de,van Gassen,All rights reserved,True,False,
