id,source,lang-source,target,lang-target,author,license,sme-reviewed,premium,lang-target-dict
f751d1bd-f848-4ebd-a49a-402d99387fda,ondernemingsbelasting,nl-nl,Gewerbesteuer,de-de,van Gassen,All rights reserved,TRUE,FALSE,
4b934c10-1397-41f2-9409-6df04b1a1d52,mijnbouwwet,nl-nl,Bergbaugesetz,de-de,van Gassen,All rights reserved,TRUE,FALSE,
fc38dbea-bafc-4955-8417-53912f53bd57,bevoegde autoriteiten,nl-nl,zuständigen Behörden,de-de,van Gassen,All rights reserved,TRUE,FALSE,
1bd26e19-d5c6-46d5-af02-5096241d942a,wezenlijke wijzigingen,nl-nl,wesentlichen Änderungen,de-de,van Gassen,All rights reserved,TRUE,FALSE,
268103b6-7fd9-44b1-994c-3470a95a0833,algemene begripsomschrijvingen,nl-nl,Allgemeine Begriffsbestimmungen,de-de,van Gassen,All rights reserved,TRUE,FALSE,
0bde416d-62b3-41a6-91fb-6e090d98d7c7,verdragsluitende staat,nl-nl,Vertragsstaat,de-de,van Gassen,All rights reserved,TRUE,FALSE,
3e46f9fa-f81a-458c-b114-c44fd651fca4,Duitsland,nl-nl,Deutschland,de-de,van Gassen,All rights reserved,TRUE,FALSE,
851f87e6-82c3-44a2-b989-714ea2115443,Nederland,nl-nl,Niederlande,de-de,van Gassen,All rights reserved,TRUE,FALSE,
be794a9e-d1ac-48bc-8d56-deaccb53f932,persoon,nl-nl,Person,de-de,van Gassen,All rights reserved,TRUE,FALSE,
2d10e3cf-5497-4433-b28f-645dfaa9a1c2,lichaam,nl-nl,Gesellschaft,de-de,van Gassen,All rights reserved,TRUE,FALSE,
b7713e78-3748-4c0e-947f-d8342e532dd7,bedrijfsuitoefening,nl-nl,Geschäftstätigkeit,de-de,van Gassen,All rights reserved,TRUE,FALSE,
570b8fdf-fad5-40b2-bfe9-2691c6537632,internationaal verkeer,nl-nl,internationaler Verkehr,de-de,van Gassen,All rights reserved,TRUE,FALSE,
29f51de8-e63b-439d-b5d1-b6d010822a52,onderdaan,nl-nl,Staatsangehöriger,de-de,van Gassen,All rights reserved,TRUE,FALSE,
d5af5191-31d9-47f1-a5d7-181013e8b77c,bevoegde autoriteit,nl-nl,zuständige Behörde,de-de,van Gassen,All rights reserved,TRUE,FALSE,
1829b3f7-7423-44d8-8fdd-e6112e52969a,inwoner,nl-nl,ansässige Person,de-de,van Gassen,All rights reserved,TRUE,FALSE,
d3a85ab2-1af4-48b3-97cf-c30cd7b8c17f,duurzaam tehuis,nl-nl,ständige Wohnstätte,de-de,van Gassen,All rights reserved,TRUE,FALSE,
ecf13ef6-0869-4a1b-af4f-2f1a5722b716,middelpunt van de levensbelangen,nl-nl,Mittelpunkt der Lebensinteressen,de-de,van Gassen,All rights reserved,TRUE,FALSE,
2c87f0a8-3e12-4bb5-a18e-4b3d0ee4bba1,gewoonlijk verblijft,nl-nl,gewöhnlichen Aufenthalt,de-de,van Gassen,All rights reserved,TRUE,FALSE,
0e7ba505-59b7-465b-bdda-4c12bbf49f4b,vaste inrichting,nl-nl,Betriebsstätte,de-de,van Gassen,All rights reserved,TRUE,FALSE,
cc3bc053-d4d3-4111-b76a-84a3757db939,werkzaamheden buitengaats,nl-nl,Tätigkeiten vor der Küste,de-de,van Gassen,All rights reserved,TRUE,FALSE,
fddb184a-41ff-45d7-becd-dd65d540ea68,bouwwerk of constructiewerkzaamheden,nl-nl,Bauausführung oder Montage,de-de,van Gassen,All rights reserved,TRUE,FALSE,
5f2caa83-f5c9-41f4-a0e3-ea6dce03f969,makelaar of commissionair,nl-nl,Makler oder Kommissionär,de-de,van Gassen,All rights reserved,TRUE,FALSE,
b5e66ade-02a5-415f-b2cc-39560d28abe3,onafhankelijke vertegenwoordiger,nl-nl,unabhängiger Vertreter,de-de,van Gassen,All rights reserved,TRUE,FALSE,
ec364133-7017-481d-8b23-f60d495db349,filiaal,nl-nl,Zweigniederlassung,de-de,van Gassen,All rights reserved,TRUE,FALSE,
7026bf2a-6331-4f50-bfe3-b8a091c81bcb,fabriek,nl-nl,Fabrikationsstätte,de-de,van Gassen,All rights reserved,TRUE,FALSE,
0320d364-85ca-4385-82b4-e531f10dabb2,werkplaats,nl-nl,Werkstätte,de-de,van Gassen,All rights reserved,TRUE,FALSE,
568c827f-8d35-4f2d-b5ad-48bf8fed9233,mijn,nl-nl,Bergwerk,de-de,van Gassen,All rights reserved,TRUE,FALSE,
9bc113ec-dbeb-4493-bc5b-d85f0ac74f1a,olie- of gasbron,nl-nl,Öl- oder Gasvorkommen,de-de,van Gassen,All rights reserved,TRUE,FALSE,
f0712b55-5d21-42d3-a231-0f90a56991b6,(steen)groeve,nl-nl,Steinbruch,de-de,van Gassen,All rights reserved,TRUE,FALSE,
1084ba75-aecb-487d-8f8d-8c6f9565aca2,natuurlijke rijkdommen,nl-nl,natürliche Ressourcen,de-de,van Gassen,All rights reserved,TRUE,FALSE,
bee54277-5a6f-40db-b11d-a79221dda7d2,inkomsten uit onroerende zaken,nl-nl,Einkünfte aus unbeweglichem Vermögen,de-de,van Gassen,All rights reserved,TRUE,FALSE,
fe322b80-793c-454b-8446-831432d88858,onroerende zaken,nl-nl,unbewegliches Vermögen,de-de,van Gassen,All rights reserved,TRUE,FALSE,
122924fb-2691-4c32-b785-894af2b50b70,landbouw- of bosbedrijven,nl-nl,land- und forstwirtschaftliche Betriebe,de-de,van Gassen,All rights reserved,TRUE,FALSE,
efa4b763-2e35-4fcf-9f30-a170b512fba7,vruchtgebruik,nl-nl,Nutzungsrechte,de-de,van Gassen,All rights reserved,TRUE,FALSE,
b19b513c-2e35-40ef-a978-af2ea2869a97,minerale aardlagen,nl-nl,Mineralvorkommen,de-de,van Gassen,All rights reserved,TRUE,FALSE,
cfd21ebd-ece6-43e0-a488-085603688055,bronnen en andere natuurlijke rijkdommen,nl-nl,Quellen und andere natürliche Ressourcen,de-de,van Gassen,All rights reserved,TRUE,FALSE,
89a556de-d8f0-43a8-b94e-ec5985747375,winst uit onderneming,nl-nl,Unternehmensgewinne,de-de,van Gassen,All rights reserved,TRUE,FALSE,
7a1b9dbe-c58a-4ecf-87f2-e004b80feced,"zeevaart, binnenvaart en luchtvervoer",nl-nl,"Seeschifffahrt, Binnenschifffahrt und Luftfahrt",de-de,van Gassen,All rights reserved,TRUE,FALSE,
79c6fa1a-0648-4f47-a0e2-d8c5059bfd12,schepen of luchtvaartuigen in internationaal verkeer,nl-nl,Seeschiffe oder Luftfahrzeuge im internationalen Verkehr,de-de,van Gassen,All rights reserved,TRUE,FALSE,
d6062f7e-ad69-46bb-b3f3-2bdeee4a85d7,binnenschepen,nl-nl,Binnenschiffe,de-de,van Gassen,All rights reserved,TRUE,FALSE,
70ace289-6a7c-405e-8a4c-254a05c800b0,containers,nl-nl,Container,de-de,van Gassen,All rights reserved,TRUE,FALSE,
a5d45520-337e-4dd7-8cfa-8cdc3057a231,pool,nl-nl,Pool,de-de,van Gassen,All rights reserved,TRUE,FALSE,
